cazyfamily_name,cazyfamily_read_count,seq_amount,average_seq_length,FRKM
GH101,142,12,5061.0,8.417867778667096
GH35,448,2,1948.5,68.98071580836725
GH130,653,10,987.9,198.31259097456487
AA10,148,16,704.625,63.016424844095546
CBM4,538,22,3213.1363636363635,50.23463040609394
GH48,79,15,1476.6,16.051451838344367
CBM34,777,122,1729.4016393442623,134.79545385199663
GT30,369,24,1221.125,90.66012977222175
PL8,111,7,2766.4285714285716,12.037979802106731
GH16_21,32,8,947.25,10.135273140489655
GH13_9,82,1,1197.0,20.552743148260333
GH32,221,155,1444.4709677419355,45.902205093110034
GH30_3,328,3,2585.0,38.068291757783555
CE14,414,27,844.0,147.1661699379493
GT19,322,23,1131.9565217391305,85.34463365916949
GH9,382,35,2271.942857142857,50.44475902418966
PL0,171,2,1608.0,31.905103573504146
GH8,315,22,1122.5454545454545,84.18926363649322
GH105,313,18,1026.6666666666667,91.4671123773008
GH13_21,325,6,1688.0,57.76449906984725
GH67,41,4,2154.0,5.710685596208825
CBM22,155,16,2468.0625,18.841940917229714
GT32,89,7,894.8571428571429,29.83914607025692
GT56,286,20,992.55,86.44974812182146
GH78,464,13,1895.7692307692307,73.43153440531484
GT20,489,46,1452.6521739130435,100.99440469058872
CBM30,81,5,4806.0,5.056515527911953
CBM44,81,5,4806.0,5.056515527911953
GH44,81,5,4806.0,5.056515527911953
GH28,447,14,1482.2142857142858,90.4787560906911
GH13_30,178,8,1611.0,33.14931470853762
GH104,215,37,502.7837837837838,128.29427910136437
PL1_2,43,8,1618.125,7.972719423332165
GT73,247,12,759.0,97.63494145813654
GH146,35,5,2320.2,4.525772453364863
PL1_6,57,4,1284.0,13.318641367132573
PL16,342,129,1036.046511627907,99.03687907907388
GT53,13,15,3429.6,1.1372343647061134
GH95,241,13,2534.5384615384614,28.527797915088673
GH133,87,10,2011.2,12.978188720704802
PL12_1,248,120,1913.375,38.88675272126395
GT52,268,8,785.25,102.39457359376496
GH103,311,38,1108.342105263158,84.18537479384963
GH102,324,31,1135.9354838709678,85.57392201300506
PL6_1,23,1,2211.0,3.1209670693911558
CBM51,256,15,4420.8,17.37357488658854
CBM54,67,6,4186.5,4.801465359757789
3.2.1.6,24,1,3966.0,1.8155517175357085
PL8_1,265,161,2425.6024844720496,32.777538636072315
CBM62,57,5,2847.0,6.0067212909723295
GH5_34,25,1,2847.0,2.6345268820054075
CBM57,15,2,3112.5,1.4458791389049441
GH5_1,80,16,1678.3125,14.30102779179805
GH29,146,26,1997.423076923077,21.92970984424657
GH142,7,1,1701.0,1.2346498819867318
CE3,34,5,1404.6,7.262336127704955
CE12,28,2,1594.5,5.268458950791924
CBM11,45,5,2703.0,4.994782263975181
GH26,148,14,1869.2142857142858,23.75487320802444
GT81,12,4,963.0,3.7385659977915995
GH43_1,21,5,1066.8,5.905903963046769
GT77,12,1,1554.0,2.316756149210624
GH13_4,184,1,1935.0,28.52902611027946
GH81,195,8,2607.375,22.43784827956902
CBM9,44,4,2597.25,5.082636072077058
GH141,48,3,2279.0,6.318980352563949
CBM16,39,4,1945.5,6.014277528444235
CBM42,151,16,2065.5,21.93319202117606
GH43_29,10,3,980.0,3.0614277685997533
GH53,23,5,1206.6,5.718927722877378
GH89,113,3,4648.0,7.2939438703686905
CBM25,54,14,416.14285714285717,38.931524291112005
PL14_3,66,4,1078.5,18.36005081808364
GH145,6,1,1311.0,1.3730888847724294
PL1_5,126,5,1779.0,21.249303027920043
GH43_5,54,4,996.0,16.26614031268062
PL12,59,1,1893.0,9.350858614920114
GH74,39,5,2529.0,4.626641728583732
CE15,75,4,996.0,22.591861545389747
GH43_17,7,2,970.5,2.1639767637912737
GH64,55,4,1182.0,13.960317828047947
GH43_9,25,1,1632.0,4.595893402616052
GH5_37,21,6,1032.0,6.105056538544857
GH33,134,34,1511.5588235294117,26.596827613615996
GH123,51,8,1761.75,8.685123307768736
3.2.1.53,46,1,1764.0,7.8236487419771485
PL8_3,10,1,3477.0,0.8628700642012536
CE0,103,22,1032.409090909091,29.931983521217365
GH114,64,4,888.0,21.623057392632493
CE7,47,12,991.0,14.22899727766949
GH16_24,35,11,1285.090909090909,8.171170749099371
GH30_5,51,4,2949.0,5.188543908939155
GH13_11,26,2,1641.0,4.753514902128075
GH43_19,15,3,1429.0,3.149264394570775
GT87,37,38,1732.8157894736842,6.406184175130573
PL1,51,4,1059.0,14.44855145180507
GH124,23,4,1185.75,5.819488248301787
GH5_5,17,9,1820.0,2.802383880487467
GH11,26,2,2052.0,3.801422005064411
3.1.1.72,29,2,2248.5,3.8695030991151875
GH43_33,2,1,1164.0,0.5154981466027077
CBM61,24,2,2931.0,2.456662610626619
PL33_1,8,1,1953.0,1.2289602511941662
GH43_4,30,3,1874.0,4.802880277312314
GH43_18,13,3,952.0,4.096910690332023
GH43_11,8,1,1608.0,1.492636424491422
GH127,24,5,1771.2,4.065310587029483
3.2.1.4,49,3,2698.0,5.448842158938479
GH97,8,2,1941.0,1.2365581507378707
GH5_4,33,3,2106.0,4.701166858334095
PL26,7,1,2721.0,0.7718263319586295
GH55,1,1,2943.0,0.10194356823743658
GT21,1,1,1242.0,0.24156193343218665
GH13_5,9,17,1488.0,1.814636620903886
GH13_33,4,3,2070.0,0.579748640237248
PL10_1,17,2,1138.5,4.479875856378735
3.2.1.52,35,1,3006.0,3.4932459235852145
GH43_3,5,2,1080.0,1.3889811172350732
GT85,12,13,2020.6153846153845,1.781753758426718
GH117,5,1,1074.0,1.3967407882810794
GH5,29,4,1686.0,5.160485004958778
GH39,6,6,1387.5,1.2973834435579497
GH27,3,2,1293.0,0.6961019056212897
PL17_2,26,1,2202.0,3.542469552403348
GH144,6,2,1743.0,1.0327708135035312
GH79,2,2,1569.0,0.3824345714758137
CE5,1,1,837.0,0.35844673993163184
GH43_16,17,1,2040.0,2.5001660110231323
GT89,8,11,2047.909090909091,1.1720048420297542
GH120,11,2,2004.0,1.6468159354044583
GH139,4,1,2460.0,0.487837270443538
GH13_36,5,1,1536.0,0.976627348055911
GH43_34,2,1,1014.0,0.5917552688812147
GH106,24,4,2885.25,2.4956167097293545
GH43_24,16,2,1426.5,3.365102517465414
GH5_55,20,1,1677.0,3.578055114165484
GH16,9,10,2019.9,1.3367885993885749
GH5_2,2,1,972.0,0.617324940993366
GH143,6,1,1956.0,0.9203065071250793
GH13_2,6,1,2136.0,0.8427525879853254
GH30_4,3,1,1539.0,0.5848341546252941
GH154,7,4,1191.75,1.7622315496198286
GH159,2,1,1074.0,0.5586963153124317
GH30_2,9,1,1353.0,1.9956979245417463
GH43_28,5,1,1836.0,0.8170477160206313
GH13_7,2,1,1341.0,0.4474570042099565
GH43,4,1,1134.0,1.0582713274171989
GH166,1,1,843.0,0.35589551758336396
GH43_35,5,1,1416.0,1.0593923775521747
GH138,7,1,2748.0,0.7642428854655862
GH43_8,6,2,1570.5,1.1462079133630405
GH109,6,1,1413.0,1.2739699419226151
GH5_13,7,1,1149.0,1.8277976059699137
GT108,4,1,948.0,1.2659068410243708
CE6,3,1,837.0,1.0753402197948956
PL35,5,1,1866.0,0.8039119006505248
GT104,2,1,1101.0,0.5449953157543612
GH5_46,3,1,1359.0,0.6622956320591079
GH13_10,1,1,1788.0,0.1677963765787337
GH13_41,1,1,2259.0,0.13281094348064446
GT41,1,1,1797.0,0.166955994058306
GT31,2,1,1029.0,0.5831290987809055
GH113,1,1,966.0,0.31057962869852573
GH13_12,1,1,3405.0,0.08811157748099144
